layer_id,layer_name,mode,mode_name,h_in,w_in,c_in,f_out,k,h_out,w_out,conv_stride,pad_top,pad_bottom,pad_left,pad_right,relu_en,pool_en,pool_k,pool_stride,pv_m1,pf_m1,pc_m2,pf_m2,ifm_ddr_base,wgt_ddr_base,ofm_ddr_base,first_layer,last_layer,wgt_offset_ddr_words,wgt_offset_physical_words,wgt_num_ddr_words,wgt_num_physical_words
0,L0,0,MODE1,96,96,3,16,3,96,96,1,1,1,1,1,1,0,2,2,16,16,0,0,0x000000,65536,0x020000,1,0,0,0,32,2
1,L1,0,MODE1,96,96,16,16,3,96,96,1,1,1,1,1,1,1,2,2,16,16,0,0,0x000000,65568,0x020000,0,0,32,2,144,9
2,L2,0,MODE1,48,48,16,32,3,48,48,1,1,1,1,1,1,0,2,2,16,16,0,0,0x000000,65712,0x020000,0,0,176,11,288,18
3,L3,0,MODE1,48,48,32,32,3,48,48,1,1,1,1,1,1,1,2,2,16,16,0,0,0x000000,66000,0x020000,0,0,464,29,576,36
4,L4,0,MODE1,24,24,32,64,3,24,24,1,1,1,1,1,1,0,2,2,16,16,0,0,0x000000,66576,0x020000,0,0,1040,65,1152,72
5,L5,0,MODE1,24,24,64,64,3,24,24,1,1,1,1,1,1,0,2,2,16,16,0,0,0x000000,67728,0x020000,0,0,2192,137,2304,144
6,L6,0,MODE1,24,24,64,64,3,24,24,1,1,1,1,1,1,1,2,2,16,16,0,0,0x000000,70032,0x020000,0,0,4496,281,2304,144
7,L7,1,MODE2,12,12,64,128,3,12,12,1,1,1,1,1,1,0,2,2,0,0,16,16,0x000000,72336,0x020000,0,0,6800,425,4608,288
8,L8,1,MODE2,12,12,128,128,3,12,12,1,1,1,1,1,1,0,2,2,0,0,16,16,0x000000,76944,0x020000,0,0,11408,713,9216,576
9,L9,1,MODE2,12,12,128,128,3,12,12,1,1,1,1,1,1,1,2,2,0,0,16,16,0x000000,86160,0x020000,0,0,20624,1289,9216,576
10,L10,1,MODE2,6,6,128,128,3,6,6,1,1,1,1,1,1,0,2,2,0,0,16,16,0x000000,95376,0x020000,0,0,29840,1865,9216,576
11,L11,1,MODE2,6,6,128,128,3,6,6,1,1,1,1,1,1,0,2,2,0,0,16,16,0x000000,104592,0x020000,0,0,39056,2441,9216,576
12,L12,1,MODE2,6,6,128,128,3,6,6,1,1,1,1,1,1,1,2,2,0,0,16,16,0x000000,113808,0x020000,0,1,48272,3017,9216,576
