layer_id,layer_name,h_in,w_in,c_in,f_out,k,pad_top,pad_bottom,pad_left,pad_right,relu_en,pool_en,pool_k,pool_stride,h_out,w_out
0,L0,32,32,3,16,3,1,1,1,1,1,0,2,2,32,32
1,L1,32,32,16,16,3,1,1,1,1,1,1,2,2,32,32
2,L2,16,16,16,32,3,1,1,1,1,1,0,2,2,16,16
3,L3,16,16,32,32,3,1,1,1,1,1,1,2,2,16,16
4,L4,8,8,32,64,3,1,1,1,1,1,0,2,2,8,8
5,L5,8,8,64,64,3,1,1,1,1,1,0,2,2,8,8
6,L6,8,8,64,64,3,1,1,1,1,1,1,2,2,8,8
7,L7,4,4,64,64,3,1,1,1,1,1,0,2,2,4,4
8,L8,4,4,64,64,3,1,1,1,1,1,0,2,2,4,4
9,L9,4,4,64,64,3,1,1,1,1,1,1,2,2,4,4
10,L10,2,2,64,64,3,1,1,1,1,1,0,2,2,2,2
11,L11,2,2,64,64,3,1,1,1,1,1,0,2,2,2,2
12,L12,2,2,64,64,3,1,1,1,1,1,1,2,2,2,2
