layer_id,layer_name,mode,mode_name,h_in,w_in,c_in,f_out,k,h_out,w_out,conv_stride,pad_top,pad_bottom,pad_left,pad_right,relu_en,pool_en,pool_k,pool_stride,pv_m1,pf_m1,pc_m2,pf_m2,ifm_ddr_base,wgt_ddr_base,ofm_ddr_base,first_layer,last_layer
0,L0,0,MODE1,96,96,3,16,3,96,96,1,1,1,1,1,1,0,2,2,16,16,0,0,0x000000,0x010000,0x020000,1,0
1,L1,0,MODE1,96,96,16,16,3,96,96,1,1,1,1,1,1,1,2,2,16,16,0,0,0x000000,0x010020,0x020000,0,0
2,L2,0,MODE1,48,48,16,32,3,48,48,1,1,1,1,1,1,0,2,2,16,16,0,0,0x000000,0x0100B0,0x020000,0,0
3,L3,0,MODE1,48,48,32,32,3,48,48,1,1,1,1,1,1,1,2,2,16,16,0,0,0x000000,0x0101D0,0x020000,0,0
4,L4,0,MODE1,24,24,32,64,3,24,24,1,1,1,1,1,1,0,2,2,16,16,0,0,0x000000,0x010410,0x020000,0,0
5,L5,0,MODE1,24,24,64,64,3,24,24,1,1,1,1,1,1,0,2,2,16,16,0,0,0x000000,0x010890,0x020000,0,0
6,L6,0,MODE1,24,24,64,64,3,24,24,1,1,1,1,1,1,1,2,2,16,16,0,0,0x000000,0x011190,0x020000,0,0
7,L7,1,MODE2,12,12,64,128,3,12,12,1,1,1,1,1,1,0,2,2,0,0,16,16,0x000000,0x011A90,0x020000,0,0
8,L8,1,MODE2,12,12,128,128,3,12,12,1,1,1,1,1,1,0,2,2,0,0,16,16,0x000000,0x012C90,0x020000,0,0
9,L9,1,MODE2,12,12,128,128,3,12,12,1,1,1,1,1,1,1,2,2,0,0,16,16,0x000000,0x015090,0x020000,0,0
10,L10,1,MODE2,6,6,128,128,3,6,6,1,1,1,1,1,1,0,2,2,0,0,16,16,0x000000,0x017490,0x020000,0,0
11,L11,1,MODE2,6,6,128,128,3,6,6,1,1,1,1,1,1,0,2,2,0,0,16,16,0x000000,0x019890,0x020000,0,0
12,L12,1,MODE2,6,6,128,128,3,6,6,1,1,1,1,1,1,1,2,2,0,0,16,16,0x000000,0x01BC90,0x020000,0,1
